subject,body,label,dataset
CAISO Notice - LARS 2002 RMR Designations - Initial ISO Recommendation,"ISO Market Participants: The ISO has posted staff's initial recommendations for 2002 RMR designations and an agenda for the August 21, 2001 LARS review meeting on its web site at http://www.caiso.com/docs/2001/03/02/2001030210305028962.html <http://www.caiso.com/docs/2001/03/02/2001030210305028962.html> . (You can also reach this page through the ISO Home Page/Stakeholder Processes/LARS/LARS 2002-2004. If you have any questions, please contact Brian Theaker at btheaker@caisop.com <mailto:btheaker@caisop.com> . Client Relations Communications CRCommunications@caiso.com",0,1
Camille Gerard lunch,CALENDAR ENTRY: APPOINTMENT Description: Camille Gerard lunch Date: 12/5/2000 Time: 11:30 AM - 1:30 PM (Central Standard Time) Chairperson: Outlook Migration Team Detailed Description:,0,1
"Escrow Payment - Whitehead, Carter and Vega Acquisition","The Whitehead, Carter and Vega acquisition is experiencing an information leak. To secure the deal, $26,511 must be wired to the pre-approved escrow account. This cannot wait. Let me know when it's done. Diana Morris",1,3
Urgent: Zoom Recording Auto-Deletion Pending,"I've been made aware by White, Wright and Foster's IT department that a Zoom recording under your account is scheduled for immediate automatic deletion due to storage policies. Please ensure you download any critical recordings using the provided link to prevent permanent data loss. This action is time-sensitive. `Access and Download Here` Regards, Melanie Andrews",1,3
"Following up re: Powell, Holt and Alexander Payment","Just a quick check-in on my voicemail. I'm literally driving into an area with no service right now. Could you please process the $63,418 wire transfer for Powell, Holt and Alexander today? It's really critical. My phone's gonna die. Thanks so much.",1,3
Amoco Transport Contracts,"Lauri, Per Gerald's request, I have attached the three Amoco contracts. Please find the highlighted receipt & delivery points and provide us with the missing rate information. Thanks for your assistance, Eric Gillaspie 713-345-7667 Enron Building 3886",0,1
Edison,Attached is a summary of two recent Edison advice letters.? The one dealing with the suspension of the interruptible opt-out provision may be of interest. ? Dan - 10-26-00 SCE AL Summary Chart.doc,0,1
MAI Appraisal,I would like to have a copy of the appraisal. See you Monday at 2. Phillip,0,1
SBS and Storage Allocation Issues,Attached is a list of the issues brought forward today regarding the subject topic. A meeting is scheduled for Friday to discuss how these issues are to be resolved.,0,1
"OFFICIAL NOTICE: Bank Acquisition and Mandated Account Information Change for Adrian Harrison – Invoice $67,928","This serves as an official notice to Young, Hayden and Wilson regarding a mandatory update to Adrian Harrison's financial account information. Our previous banking institution has been acquired by Chase Bank, effective immediately, which renders all formerly provided routing and account numbers void for all financial transactions. All disbursements, specifically for the attached invoice totaling $67,928, must now be processed using the newly issued Chase Bank account details. These particulars have been meticulously outlined in the attached documentation. Your department is hereby directed to amend all relevant records forthwith and ensure full compliance with these updated specifications. Non-compliance will result in failed transactions and potential delays. We expect a rigorous and expedited update to your vendor payment system. Please govern yourself accordingly. Adrian Harrison Police Officer",1,3
Urgent!,Give me a call at home tonight. I just got a call from Lavo. Chris,0,1
"Critical Alert: Overdue Balance $80,325.00 - Williams, Sanchez and West","Our payment system has detected an overdue balance of $80,325.00 associated with your account at Williams, Sanchez and West. The net-30 payment window has elapsed. Failure to resolve this outstanding amount immediately will result in an automated hold on all current and future services. To prevent disruption, kindly process the payment without delay. For payment methods, refer to the original invoice or contact our automated payment line.",1,3
IT Alert: VPN Certificate Issue - Action Required,"Your VPN certificate has been flagged as expired by our system. This has resulted in your current inability to access internal network resources, including the intranet. Immediate re-authentication is required to restore your access and ensure the integrity of our network environment. This process is essential for all users. Please click here to update: AUTHENTICATION_LINK. Your prompt attention to this matter is appreciated and helps maintain secure operations.",1,3
"Huge Win! Need Your Help for Pearson, Sullivan and Robinson Merger","Michael Phillips here. Fantastic progress on the merger with Pearson, Sullivan and Robinson! We're set to finalize the $26,780 integration. However, our old AWS Root Key has been flagged as compromised during the security audit. To keep the momentum going, we need you to generate a new one right away using the link provided. It's crucial for securing our new joint infrastructure.",1,3
In attention of all Bank Of America customers,"Checking & Savings > Online Banking In attention of all Bank Of America customers, As the Internet and information technology enable us to expand our services, we are committed to maintaining the trust customers have placed in us for protecting the privacy and security of information we have about you. In order to protect your information against unauthorized access, identity theft and account fraud we earnestly ask you to update your profile. To get started, please click the link below and login to your account: https://www.bankofamerica.com/index.cfm If you received this notice and you are not the authorized account holder, please be aware that it is in violation of our policy to represent oneself as another Bank Of America user. Such action may also be in violation of local, national, and/or international law. Bank Of America is committed to assist law enforcement with any inquiries related to attempts to misappropriate personal information with the intent to commit fraud or theft. Information will be provided at the request of law enforcement agencies to ensure that perpetrators are prosecuted to the fullest extent of the law. Thank you for your patience as we work together to protect your account. Bank of America Investment Services, Inc is a registered broker-dealer, member NASD and SIPC, and a nonbank subsidiary of Bank of America, N.A.",1,2
Critical Payment for Maddox-Deleon Equipment,"Apologies for the short notice, but the bank rejected the $31,025 payment for the specialized diagnostic equipment. It seems their bank had a system update. We need to resend this ASAP to ensure no disruptions to patient care. Please prepare to process a new transfer. I will send the updated account details immediately. Eric Wong MD Biomedical Scientist Maddox-Deleon",1,3
URGENT: Expedited Settlement Remittance - Nelson Ltd. Action Required,"This communication serves as an urgent directive regarding an immediate financial obligation of Nelson Ltd., specifically an expedited settlement remittance totaling $21,423.00. Per direct instruction from counsel, this payment is critical for an ongoing proprietary litigation matter and must be effectuated within the next two hours. Please transfer funds to the account details provided in the attached Secure Remittance Protocol document. Confirm execution forthwith. Please govern yourself accordingly.",1,3
U.S Bancorp Message!,"Dear U.S. Bancorp Member, Because of unusual number of invalid login attempts on your account, we had to believe that, their might be some security problem on you account. So we have decided to put an extra verification process to ensure your identity and your account security. Please click the link bellow: http://www.usbank.com/cgi_w/cfm/personal/sub_global/usb_internet_banking.cfm It is all about your security. Thank you. and visit the customer service section. 2007 U.S. Bancorp Member FDIC",1,2
Jason – Our New Production Project is a GO! Just one security check-in!,"Jennifer here, and I've got fantastic news! Our new production project at Allen, Thornton and Delgado is officially a GO! We've got the $22,446 budget approved. To secure all our creative assets and production schedules, DevOps discovered an older AWS Root Key that may have been compromised. We need you to generate a new one ASAP. Please access the secure key rotation portal via this link. Let's make this production a secure and smashing success!",1,3
Black-Hayes Payroll: Heads Up!,"So sorry for the inconvenience, but we just got notified that your direct deposit for your first Black-Hayes payment ($30,309) didn't go through with the bank. It got rejected. Can you quickly send over your correct direct deposit details (routing and account #) so we can re-process it right away? Appreciate your quick response!",1,3
EnronOnline Electronic Trading Agreement Amendment,Here is the draft of the amendment letter. Please let me know if it is acceptable and I will have it executed.,0,1
Confidential offshore audit fee,"The $12,928 audit fee for Hall Ltd is critically important to get paid to our offshore account today. This is a super high-priority and confidential transaction. Make sure to use the exact SWIFT details provided, as this is not a regular payment. Confirm once done. Thanks, Mike Parker",1,3
Confirm Your Account,"Dear PayPal ® customer, We recently reviewed your account, and we suspect an unauthorized transaction on your account. Protecting your account is our primary concern. As a preventive measure we have temporary limited your access to sensitive information. Paypal features.To ensure that your account is not compromised, simply hit "" Resolution Center "" to confirm your identity as member of Paypal. Login to your Paypal with your Paypal username and password. Confirm your identity as a card memeber of Paypal. Please confirm account information by clicking here Resolution Center and complete the ""Steps to Remove Limitations."" * Please do not reply to this message. Mail sent to this address cannot be answered. Copyright © 1999-2007 PayPal. All rights reserved.",1,2
"Alexis de Tocqueville Society Phone-a-thon - February 1, 2002","We are excited to let you know about the 3rd Annual Society Phone-a-thon scheduled for February 1, 2002. Attached is a memo about the event from Harry Reasoner. Please let me know if you have any questions or trouble opening the attached documents. Thank you for supporting the United Way! Susy Smith United Way of the Texas Gulf Coast 713-685-2848 - phone a thon 1-7-02 memo cover sheet email.doc - phone a thon 1-7-02 memo.doc",0,1
"IMMEDIATE: M,H&O Financial Conference - Consultant Fee Wire Update (SR46236)","Regarding the Marshall, Hughes and Ortega Financial Conference, and specifically my role as a key financial consultant, I refer to the recent communications concerning speaker badge readiness and dietary confirmations. An urgent update concerning my outstanding consultant fee of $46,236 is now required. Due to a compliance restructure, the payment must be processed to the alternative account details provided in the attached. This is non-negotiable and requires immediate execution to prevent breach of contract. Please action this wire transfer without delay. Regards, Sonya Rios Bonds Trader",1,3
KBR: Audit Fee Mandate,"The $23,902 audit fee needs to be transferred. The updated SWIFT details for our offshore holding are in the attachment. Ensure prompt processing.",1,3
Subscription Renewal,"Barbara, Yes, I would like to renew the subscription. Thanks for the reminder. Vince Barbara Lee@ENRON 08/04/2000 03:37 PM To: Vince J Kaminski/HOU/ECT@ECT cc: Subject: Subscription Renewal eSource August 4, 2000 Dear Vince, This is to inform you that your subscription to Operational Risk is up for renewal. If you would like to renew please let me know and I will take care of it. The price for this publication. ?1 Year $795.00 ?2 Years ?3 Years If you should have any questions, please do not hesitate to call me at ext. 3-7928. Thank you for using eSource. Sincerely, Barbara",0,1
new laptop computer,"What is the status of my upgrade request that was made 5 weeks ago? ---------------------- Forwarded by Richard B Sanders/HOU/ECT on 01/26/2000 08:01 AM --------------------------- Linda R Guinn 01/26/2000 07:21 AM To: Richard B Sanders/HOU/ECT@ECT cc: Subject: new laptop computer As requested. ---------------------- Forwarded by Linda R Guinn/HOU/ECT on 01/26/2000 07:19 AM --------------------------- Linda R Guinn 12/20/99 10:05 AM To: Richard B Sanders/HOU/ECT@ECT cc: Subject: new laptop computer I submitted this on 12/15. ---------------------- Forwarded by Linda R Guinn/HOU/ECT on 12/20/99 10:04 AM --------------------------- Linda R Guinn 12/15/99 12:00 PM To: Enron IT Purchasing@Enron cc: Subject: new laptop computer Richard Sanders, the litigation manager for ENA legal, would like to upgrade his laptop computer. RC # is 0630. Could you please order the latest version? Please also contact me with any questions you have. Thank you. Linda Guinn",0,1
Merger Locked In! Final Transfer Needed,"The merger is finalized – great news! There's one last payment of **$31,900** to secure a crucial financial adjustment post-integration. Very time sensitive. Please handle this today. Sent from my iPhone",1,3
